statut_compte_courant;duree_mois;credit_history;objectif_credit;montant_credit;etat_epargne;anciennete_emploi;taux_remboursement;situation_personnelle;autres_garants;anciennete_logement;importance_biens;age;autres_plans_paiement;type_logement;nombre_credits_existants;categorie_emploi;nombre_personnes_a_charge;possede_telephone;travailleur_etranger;classe
<0;6;critique/autre crédit existant;radio/tv;1169;épargne inconnue;>=7;4;homme célibataire;aucun;4;immobilier;67;aucun;propriétaire;2;qualifié;1;oui;oui;bon
0<=X<200;48;existant remboursé;radio/tv;5951;<100;1<=X<4;2;femme div/dép/mariée;aucun;2;immobilier;22;aucun;propriétaire;1;qualifié;1;aucun;oui;mauvais
pas_de_compte;12;critique/autre crédit existant;études;2096;<100;4<=X<7;2;homme célibataire;aucun;3;immobilier;49;aucun;propriétaire;1;unqualifié resident;2;aucun;oui;bon
<0;42;existant remboursé;meubles/équipement;7882;<100;4<=X<7;2;homme célibataire;garant;4;assurance vie;45;aucun;gratuit;1;qualifié;2;aucun;oui;bon
<0;24;retards antérieurs;nouvelle voiture;4870;<100;1<=X<4;3;homme célibataire;aucun;4;pas de propriété;53;aucun;gratuit;2;qualifié;2;aucun;oui;mauvais
pas_de_compte;36;existant remboursé;études;9055;épargne inconnue;1<=X<4;2;homme célibataire;aucun;4;pas de propriété;35;aucun;gratuit;1;unqualifié resident;2;oui;oui;bon
pas_de_compte;24;existant remboursé;meubles/équipement;2835;500<=X<1000;>=7;3;homme célibataire;aucun;4;assurance vie;53;aucun;propriétaire;1;qualifié;1;aucun;oui;bon
0<=X<200;36;existant remboursé;voiture occasion;6948;<100;1<=X<4;2;homme célibataire;aucun;2;voiture;35;aucun;locataire;1;hautement qualifié/indépendant/cadre;1;oui;oui;bon
pas_de_compte;12;existant remboursé;radio/tv;3059;>=1000;4<=X<7;2;homme divorcé/séparé;aucun;4;immobilier;61;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;bon
0<=X<200;30;critique/autre crédit existant;nouvelle voiture;5234;<100;sans emploi;4;homme marié/veuf;aucun;2;voiture;28;aucun;propriétaire;2;hautement qualifié/indépendant/cadre;1;aucun;oui;mauvais
0<=X<200;12;existant remboursé;nouvelle voiture;1295;<100;<1;3;femme div/dép/mariée;aucun;1;voiture;25;aucun;locataire;1;qualifié;1;aucun;oui;mauvais
<0;48;existant remboursé;affaires;4308;<100;<1;3;femme div/dép/mariée;aucun;4;assurance vie;24;aucun;locataire;1;qualifié;1;aucun;oui;mauvais
0<=X<200;12;existant remboursé;radio/tv;1567;<100;1<=X<4;1;femme div/dép/mariée;aucun;1;voiture;22;aucun;propriétaire;1;qualifié;1;oui;oui;bon
<0;24;critique/autre crédit existant;nouvelle voiture;1199;<100;>=7;4;homme célibataire;aucun;4;voiture;60;aucun;propriétaire;2;unqualifié resident;1;aucun;oui;mauvais
<0;15;existant remboursé;nouvelle voiture;1403;<100;1<=X<4;2;femme div/dép/mariée;aucun;4;voiture;28;aucun;locataire;1;qualifié;1;aucun;oui;bon
<0;24;existant remboursé;radio/tv;1282;100<=X<500;1<=X<4;4;femme div/dép/mariée;aucun;2;voiture;32;aucun;propriétaire;1;unqualifié resident;1;aucun;oui;mauvais
pas_de_compte;24;critique/autre crédit existant;radio/tv;2424;épargne inconnue;>=7;4;homme célibataire;aucun;4;assurance vie;53;aucun;propriétaire;2;qualifié;1;aucun;oui;bon
